# mpfr-elementary-v1 mpfr=4.2.2 cases-per-cell=4 seed=20260715
# operation precision rounding left right integer expected inexact invalid division_by_zero
exp 113 u 0xcd000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0x11d178570e3df90b557b293f547e8p-111 1 0 0
exp 113 u 0xf3400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x165e3935ff5d0a752297385007729p-107 1 0 0
exp 113 u -0x87000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x164a91583f48ebfc694976c7cd91fp-114 1 0 0
exp 113 d 0x97000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x1a06e03a8d4c0472cb54bb25bcd8fp-111 1 0 0
exp 113 d 0xfc000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-513 - 0 0x1a2c9bda3a3e77aaddbe9c1c37549p-112 1 0 0
exp 113 d 0xf4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-513 - 0 0x19c4b9b995509b1feab7a3c9e9223p-112 1 0 0
exp 113 d 0xd2400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x1ab69184762b13ebf13b789667e36p-108 1 0 0
exp 113 a 0xbb000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x12937a4e3f887b295b1320daf3369p-108 1 0 0
exp 113 a 0xb2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-513 - 0 0x16a6e4c1d491e17954c2f62bfaf37p-112 1 0 0
exp 113 a -0xc3c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x180a4ff9ed9fe8cc054d0e9f40ac8p-117 1 0 0
exp 113 a -0xbc000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-514 - 0 0x1aa1fcc2f4534397d0f41691a97fap-113 1 0 0
exp2 24 n 0xbb800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xf3d290p-21 1 0 0
exp2 24 n -0xc4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0xb123f6p-25 1 0 0
exp2 24 n -0xac400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x9e872ap-26 1 0 0
exp2 24 n -0xaac00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xa11fd9p-26 1 0 0
exp2 24 na -0x90000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xd744fdp-26 1 0 0
exp2 24 na -0xf6000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0x838359p-24 1 0 0
exp2 24 na 0x94000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0xbf179ap-23 1 0 0
exp2 24 na 0x8e000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x8a14d5p-22 1 0 0
exp2 24 z -0xc2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-513 - 0 0xc4de85p-24 1 0 0
exp2 24 z -0x8a400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xe51a02p-26 1 0 0
exp2 24 z 0x8a400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x8f073ap-21 1 0 0
exp2 24 z 0xe1c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xb87ba3p-20 1 0 0
exp2 24 u -0xb0800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x97657ep-26 1 0 0
exp2 24 u -0xc0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-516 - 0 0xf7d0e0p-24 1 0 0
exp2 24 u 0xb4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0xa9a15bp-22 1 0 0
exp2 24 u -0xf0400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x97ce93p-27 1 0 0
exp2 24 d -0xfe000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x82cd86p-27 1 0 0
exp2 24 d -0xe6000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xa9a15ap-27 1 0 0
exp2 24 d 0xa8c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xc70352p-21 1 0 0
exp2 24 d 0xde400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xb19ee8p-20 1 0 0
exp2 24 a -0xb7c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x8bf6a5p-26 1 0 0
exp2 24 a -0xf3000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x935a2cp-27 1 0 0
exp2 24 a -0xc9000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0x948dd4p-24 1 0 0
exp2 24 a -0xd0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xd744fdp-27 1 0 0
exp2 53 n -0x90800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x1ac36bbfd3f37ap-55 1 0 0
exp2 53 n -0x93400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x19fa5e8d07f29ep-55 1 0 0
exp2 53 n 0xb8c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x1d955d71ff6075p-50 1 0 0
exp2 53 n 0x87c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x1166a45471c3c2p-50 1 0 0
exp2 53 na -0xe9000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0x11073028d7233ep-53 1 0 0
exp2 53 na -0xbc000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-513 - 0 0x18cf3216b5448cp-53 1 0 0
exp2 53 na -0xc3000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x1efa1bee615a27p-56 1 0 0
exp2 53 na -0xf7800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x10c0f145e46c85p-54 1 0 0
exp2 53 z -0xe6c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x1508417f4531eep-56 1 0 0
exp2 53 z -0xc3000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0x12df961f641589p-53 1 0 0
exp2 53 z 0xed000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0x1e653924676d75p-52 1 0 0
exp2 53 z -0xad000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x13a7db34e59ff6p-55 1 0 0
exp2 53 u -0xc6800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x15d84590998b93p-54 1 0 0
exp2 53 u -0xcc400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x1c06286141b33dp-56 1 0 0
exp2 53 u 0xf5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x1e264614f5a129p-51 1 0 0
exp2 53 u -0xfd000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x10874518759bc9p-56 1 0 0
exp2 53 d 0xce800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x1879cad931a436p-51 1 0 0
exp2 53 d 0xb1800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x14eb2d81d8abfep-51 1 0 0
exp2 53 d -0xbc800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x170f7466f42e87p-54 1 0 0
exp2 53 d -0x9a000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0x1516daa2cf6641p-53 1 0 0
exp2 53 a -0xbfc00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x100b1afa5abcbfp-55 1 0 0
exp2 53 a 0xd4800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x1948b82b5f98e5p-51 1 0 0
exp2 53 a -0xf5800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x10efa55fdfa9c5p-54 1 0 0
exp2 53 a -0xb4400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x122bdda27912d2p-55 1 0 0
exp2 113 n -0xc1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0x12f9d24abd886af561d5566a12b6ap-113 1 0 0
exp2 113 n 0x80000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-519 - 0 0x100b1afa5abcbed6129ab13ec11ddp-112 1 0 0
exp2 113 n -0xd5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x1431f5d950a896dc704439410ccedp-114 1 0 0
exp2 113 n 0xeb800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x19a0f170ca07b9ba3109b8c46737cp-109 1 0 0
exp2 113 na -0xbe800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x16cfdcddd4764571eaa6dbc5cc23dp-114 1 0 0
exp2 113 na 0x9e000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x16247eb03a5584b1f0fa06fd2da43p-110 1 0 0
exp2 113 na -0xec000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x13dea64c12342235b41223e13d774p-116 1 0 0
exp2 113 na 0xa9800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x19145b0b91ffc588a61b469f6b70ep-110 1 0 0
exp2 113 z -0xdb000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0x11af99f8138a1c5efe1692da49ffap-113 1 0 0
exp2 113 z 0xc8400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x117ed48695bbc0109e3fe2ac5a642p-109 1 0 0
exp2 113 z -0xd1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x14a32af0d7d3de672d8bcf46f9586p-114 1 0 0
exp2 113 z -0xe8000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x14bfdad5362a271d4397afec42e20p-116 1 0 0
exp2 113 u 0xf9000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x1ecf482d8e67f08db0312fb949cf0p-111 1 0 0
exp2 113 u -0x98c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x1879cad931a4362ba5afa5b68f79bp-115 1 0 0
exp2 113 u 0xfc000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x1f50765b6e4540674f84b762862bbp-111 1 0 0
exp2 113 u 0x9a800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x12780e341ddf297819f017e79dae5p-111 1 0 0
exp2 113 d -0xab000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0x1423fb270946899ee748fd33ac8aep-113 1 0 0
exp2 113 d 0xfe000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x1fa7c1819e90d82e90a7e74b263c1p-111 1 0 0
exp2 113 d -0xc2800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x1f252b376bba974e8696fc36390d4p-116 1 0 0
exp2 113 d -0xe4800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x158d12d497c7fd252bc2b7343bcf2p-116 1 0 0
exp2 113 a -0x8e000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0x15c9268a5946b701c4b1b816986a3p-113 1 0 0
exp2 113 a -0xdb800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0x137f26231e75499828d584c537103p-114 1 0 0
exp2 113 a 0xa8000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-515 - 0 0x10efa55fdfa9c4ad89190eaff7923p-112 1 0 0
exp2 113 a 0xd3400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0x13b57fbfec6cf455319b89bffc61ep-109 1 0 0
exp10 24 n 0xe5400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xeebb7bp-12 1 0 0
exp10 24 n 0xa4800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xb9e6bep-15 1 0 0
exp10 24 n -0xd2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0x9ae08fp-26 1 0 0
exp10 24 n -0xd7000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0x9410f9p-26 1 0 0
exp10 24 na 0x93000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xc6187ep-16 1 0 0
exp10 24 na -0xaa000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0xddf0e3p-26 1 0 0
exp10 24 na -0xedc00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xca3039p-36 1 0 0
exp10 24 na -0x92c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xa6e8d8p-31 1 0 0
exp10 24 z -0xc6800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0xe6778bp-29 1 0 0
exp10 24 z 0xc1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0xb59338p-21 1 0 0
exp10 24 z -0xc8000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xc4948cp-34 1 0 0
exp10 24 z -0xa9800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0xc226d5p-28 1 0 0
exp10 24 u 0x86000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0xd59ba5p-22 1 0 0
exp10 24 u 0xdd000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0xe993dfp-21 1 0 0
exp10 24 u -0xf5800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0xc5e708p-30 1 0 0
exp10 24 u 0xd8000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-514 - 0 0xd00a52p-23 1 0 0
exp10 24 d 0x8e000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0xcdd2d1p-20 1 0 0
exp10 24 d 0xb5c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xace541p-14 1 0 0
exp10 24 d -0xeb000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xdf373ep-36 1 0 0
exp10 24 d 0xa9800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-511 - 0 0xa8c676p-19 1 0 0
exp10 24 a -0xec000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-512 - 0 0xf529bcp-27 1 0 0
exp10 24 a 0xa9000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000p-510 - 0 0xda927fp-15 1 0 0
